check,table,threshold,actual,passed,max_threshold,violating_columns,key_columns,duplicate_count,column,expected,fact_table,dim_table,fact_key,dim_key,missing_keys
row_count,dim_athlete,100.0,20767,True,,,,,,,,,,,
null_percentage,dim_athlete,,,True,0.3,{},,,,,,,,,
duplicate_keys,dim_athlete,,,True,,,['athlete_key'],0.0,,,,,,,
duplicate_keys,dim_athlete (business key),,,True,,,['id'],0.0,,,,,,,
data_type,dim_athlete,,int64,True,,,,,athlete_key,int64,,,,,
row_count,dim_country,1.0,21,True,,,,,,,,,,,
null_percentage,dim_country,,,True,0.5,{},,,,,,,,,
duplicate_keys,dim_country,,,True,,,['country_key'],0.0,,,,,,,
duplicate_keys,dim_country (business key),,,False,,,['noc'],2.0,,,,,,,
data_type,dim_country,,int64,True,,,,,country_key,int64,,,,,
row_count,dim_event,1.0,562,True,,,,,,,,,,,
null_percentage,dim_event,,,True,0.0,{},,,,,,,,,
duplicate_keys,dim_event,,,True,,,['event_key'],0.0,,,,,,,
data_type,dim_event,,int64,True,,,,,event_key,int64,,,,,
row_count,dim_games,1.0,52,True,,,,,,,,,,,
null_percentage,dim_games,,,True,0.0,{},,,,,,,,,
duplicate_keys,dim_games,,,True,,,['games_key'],0.0,,,,,,,
data_type,dim_games,,int64,True,,,,,games_key,int64,,,,,
row_count,fact_athlete_event_result,1.0,447,True,,,,,,,,,,,
null_percentage,fact_athlete_event_result,,,True,0.5,{},,,,,,,,,
duplicate_keys,fact_athlete_event_result,,,True,,,['result_key'],0.0,,,,,,,
data_type,fact_athlete_event_result,,int64,True,,,,,result_key,int64,,,,,
data_type,fact_athlete_event_result,,int64,True,,,,,medal_flag,int64,,,,,
referential_integrity,,,,True,,,,,,,fact,dim_athlete,athlete_key,athlete_key,0.0
referential_integrity,,,,True,,,,,,,fact,dim_country,country_key,country_key,0.0
referential_integrity,,,,True,,,,,,,fact,dim_event,event_key,event_key,0.0
referential_integrity,,,,True,,,,,,,fact,dim_games,games_key,games_key,0.0
